age,eth2,bradford,n
0,other,FALSE,105670
0,south_asian,FALSE,55709
0,white,FALSE,441238
1,other,FALSE,112332
1,south_asian,FALSE,59231
1,white,FALSE,458832
2,other,FALSE,113883
2,south_asian,FALSE,59663
2,white,FALSE,471438
3,other,FALSE,113804
3,south_asian,FALSE,59936
3,white,FALSE,480016
4,other,FALSE,118510
4,south_asian,FALSE,63546
4,white,FALSE,492481
5,other,FALSE,119573
5,south_asian,FALSE,63177
5,white,FALSE,504844
6,other,FALSE,118441
6,south_asian,FALSE,63113
6,white,FALSE,497709
7,other,FALSE,118318
7,south_asian,FALSE,64266
7,white,FALSE,505134
8,other,FALSE,124227
8,south_asian,FALSE,65260
8,white,FALSE,527400
9,other,FALSE,124066
9,south_asian,FALSE,65134
9,white,FALSE,536616
10,other,FALSE,124276
10,south_asian,FALSE,63872
10,white,FALSE,537627
11,other,FALSE,123817
11,south_asian,FALSE,63966
11,white,FALSE,530707
12,other,FALSE,123927
12,south_asian,FALSE,64176
12,white,FALSE,528163
13,other,FALSE,122387
13,south_asian,FALSE,63632
13,white,FALSE,527630
14,other,FALSE,117399
14,south_asian,FALSE,61044
14,white,FALSE,514302
15,other,FALSE,112583
15,south_asian,FALSE,59762
15,white,FALSE,500732
16,other,FALSE,114321
16,south_asian,FALSE,59741
16,white,FALSE,504916
17,other,FALSE,110343
17,south_asian,FALSE,57913
17,white,FALSE,502393
18,other,FALSE,109863
18,south_asian,FALSE,58001
18,white,FALSE,494491
19,other,FALSE,112147
19,south_asian,FALSE,58515
19,white,FALSE,511886
20,other,FALSE,110654
20,south_asian,FALSE,55368
20,white,FALSE,515517
21,other,FALSE,109856
21,south_asian,FALSE,55179
21,white,FALSE,536099
22,other,FALSE,111994
22,south_asian,FALSE,56498
22,white,FALSE,552058
23,other,FALSE,111071
23,south_asian,FALSE,57166
23,white,FALSE,562779
24,other,FALSE,108713
24,south_asian,FALSE,57053
24,white,FALSE,578072
25,other,FALSE,105097
25,south_asian,FALSE,56377
25,white,FALSE,581957
26,other,FALSE,104174
26,south_asian,FALSE,56473
26,white,FALSE,598752
27,other,FALSE,103084
27,south_asian,FALSE,57490
27,white,FALSE,614807
28,other,FALSE,102811
28,south_asian,FALSE,58467
28,white,FALSE,627827
29,other,FALSE,103133
29,south_asian,FALSE,59966
29,white,FALSE,647405
30,other,FALSE,106646
30,south_asian,FALSE,63236
30,white,FALSE,663156
31,other,FALSE,106804
31,south_asian,FALSE,66812
31,white,FALSE,648630
32,other,FALSE,107504
32,south_asian,FALSE,70134
32,white,FALSE,647009
33,other,FALSE,106515
33,south_asian,FALSE,73634
33,white,FALSE,652838
34,other,FALSE,106012
34,south_asian,FALSE,73814
34,white,FALSE,630029
35,other,FALSE,105824
35,south_asian,FALSE,75649
35,white,FALSE,627528
36,other,FALSE,104870
36,south_asian,FALSE,75667
36,white,FALSE,619458
37,other,FALSE,102310
37,south_asian,FALSE,75140
37,white,FALSE,607715
38,other,FALSE,104023
38,south_asian,FALSE,76170
38,white,FALSE,600325
39,other,FALSE,101439
39,south_asian,FALSE,75267
39,white,FALSE,604146
40,other,FALSE,104272
40,south_asian,FALSE,75775
40,white,FALSE,618839
41,other,FALSE,102438
41,south_asian,FALSE,75101
41,white,FALSE,608790
42,other,FALSE,99568
42,south_asian,FALSE,70469
42,white,FALSE,574252
43,other,FALSE,93832
43,south_asian,FALSE,65482
43,white,FALSE,541581
44,other,FALSE,93593
44,south_asian,FALSE,64514
44,white,FALSE,543753
45,other,FALSE,93179
45,south_asian,FALSE,59597
45,white,FALSE,559574
46,other,FALSE,90690
46,south_asian,FALSE,56637
46,white,FALSE,583689
47,other,FALSE,87404
47,south_asian,FALSE,54734
47,white,FALSE,600679
48,other,FALSE,87535
48,south_asian,FALSE,51683
48,white,FALSE,635755
49,other,FALSE,83032
49,south_asian,FALSE,49473
49,white,FALSE,674545
50,other,FALSE,86123
50,south_asian,FALSE,47702
50,white,FALSE,689956
51,other,FALSE,83006
51,south_asian,FALSE,46476
51,white,FALSE,677314
52,other,FALSE,82283
52,south_asian,FALSE,43391
52,white,FALSE,700064
53,other,FALSE,78436
53,south_asian,FALSE,40268
53,white,FALSE,701682
54,other,FALSE,75148
54,south_asian,FALSE,35679
54,white,FALSE,715433
55,other,FALSE,74271
55,south_asian,FALSE,33475
55,white,FALSE,717409
56,other,FALSE,72080
56,south_asian,FALSE,30401
56,white,FALSE,723446
57,other,FALSE,67819
57,south_asian,FALSE,29465
57,white,FALSE,709510
58,other,FALSE,64813
58,south_asian,FALSE,29165
58,white,FALSE,695336
59,other,FALSE,56690
59,south_asian,FALSE,29293
59,white,FALSE,677982
60,other,FALSE,55075
60,south_asian,FALSE,28351
60,white,FALSE,656514
61,other,FALSE,49724
61,south_asian,FALSE,28468
61,white,FALSE,625485
62,other,FALSE,45593
62,south_asian,FALSE,26969
62,white,FALSE,616675
63,other,FALSE,40871
63,south_asian,FALSE,26322
63,white,FALSE,601240
64,other,FALSE,38304
64,south_asian,FALSE,25931
64,white,FALSE,573885
65,other,FALSE,34040
65,south_asian,FALSE,24642
65,white,FALSE,550101
66,other,FALSE,31712
66,south_asian,FALSE,23958
66,white,FALSE,537985
67,other,FALSE,28316
67,south_asian,FALSE,22354
67,white,FALSE,543211
68,other,FALSE,26385
