lad2019,lad_name,pop,examined,"mean_d3mft
d3mft",any_d3mft
E07000032,Amber Valley,1452,151,0.474952489,23
E07000170,Ashfield,1546,189,0.532313055,43
E07000171,Bassetlaw,1324,245,0.67326855,58
E07000129,Blaby,1194,256,0.49049556,49
E07000033,Bolsover,957,171,0.393026956,29
E07000136,Boston,950,516,1.57738252,203
E07000172,Broxtowe,1271,217,0.596668182,40
E07000130,Charnwood,1989,252,0.536275692,52
E07000034,Chesterfield,1154,164,0.497705274,38
E07000150,Corby,1033,251,1.346444688,91
E07000151,Daventry,981,271,0.55819793,53
E06000015,Derby,3569,124,0.990157449,34
E07000035,Derbyshire Dales,631,164,0.534945876,26
E07000137,East Lindsey,1383,241,0.704575204,64
E07000152,East Northamptonshire,1091,247,0.578180133,60
E07000036,Erewash,1323,144,0.454888787,22
E07000173,Gedling,1346,203,0.652861855,47
E07000131,Harborough,1044,265,0.417510491,41
E07000037,High Peak,956,168,0.483502197,28
E07000132,Hinckley and Bosworth,1303,272,0.480135941,46
E07000153,Kettering,1442,317,0.940211007,77
E06000016,Leicester,5093,1076,1.591727057,415
E07000138,Lincoln,1090,316,0.926723727,83
E07000174,Mansfield,1336,209,0.604287853,42
E07000133,Melton,569,259,0.555387898,51
E07000175,Newark and Sherwood,1377,199,0.7602064,39
E07000038,North East Derbyshire,984,160,0.397023802,23
E07000139,North Kesteven,1262,247,0.354755732,39
E07000134,North West Leicestershire,1185,244,0.423522406,34
E07000154,Northampton,3368,346,0.79478159,78
E06000018,Nottingham,4212,209,1.521531274,75
E07000135,Oadby and Wigston,674,233,0.527681775,43
E07000176,Rushcliffe,1357,207,0.197272285,26
E06000017,Rutland,428,252,0.713795088,64
E07000039,South Derbyshire,1278,180,0.534659675,31
E07000140,South Holland,1077,273,1.027485355,76
E07000141,South Kesteven,1608,273,0.484424202,42
E07000155,South Northamptonshire,1098,224,0.368039687,36
E07000156,Wellingborough,1069,265,1.186342749,77
E07000142,West Lindsey,1060,249,0.503870373,46
E07000200,Babergh,921,249,0.254771768,29
E07000066,Basildon,2617,250,1.088235816,86
E06000055,Bedford ,2365,248,1.026388699,61
E07000067,Braintree,1823,193,0.175287854,14
E07000143,Breckland,1633,308,0.652959302,54
