lsoa2011,total,White,Gypsy / Traveller / Irish Traveller,Mixed / Multiple ethnic group,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British,Other Ethnic Group
E01010646,1319,1298,1,11,4,0,0,1,2,2,0
E01010647,1091,1078,1,8,0,0,0,1,1,1,1
E01010648,1320,1307,0,6,3,0,0,1,0,0,3
E01010692,1864,1827,1,16,7,5,0,2,4,1,1
E01010691,1528,1488,0,25,4,2,0,2,4,2,1
E01010693,1549,1494,6,20,14,4,0,1,5,5,0
E01010694,1576,1549,0,17,3,1,1,2,2,0,1
E01010695,1664,1594,1,28,4,5,1,9,8,7,7
E01010696,1548,1506,0,21,12,3,0,2,1,2,1
E01010697,1515,1473,0,21,2,3,0,5,4,2,5
E01010698,1808,1753,0,18,6,0,2,9,4,6,10
E01010699,1757,1716,0,15,4,4,0,8,4,4,2
E01010767,1450,1426,0,11,1,4,0,7,0,1,0
E01010768,1659,1630,1,18,5,0,0,0,0,5,0
E01010769,1579,1547,0,18,9,0,0,1,2,2,0
E01010771,1260,1237,1,4,2,0,0,1,1,1,13
E01010638,1523,1503,3,10,1,0,0,0,3,2,1
E01010639,1762,1722,0,18,1,1,2,5,1,1,11
E01010640,1691,1638,0,10,9,9,0,5,7,4,9
E01010641,1528,1497,0,7,1,7,2,0,7,3,4
E01010642,1764,1741,0,10,0,1,0,0,3,2,7
E01010643,1423,1375,3,4,14,5,0,0,17,5,0
E01010644,1614,1468,0,10,57,42,1,8,10,11,7
E01010645,1338,1273,0,12,22,5,1,6,3,12,4
E01010770,1629,1589,0,28,1,2,0,4,3,2,0
E01010772,1270,1258,0,2,0,6,0,0,0,4,0
E01010773,1400,1357,0,17,6,11,1,1,2,4,1
E01010774,1589,1561,0,14,1,2,0,3,3,0,5
E01010706,1671,1599,0,14,8,36,1,1,7,3,2
E01010707,1736,1577,0,13,15,98,10,3,0,8,12
E01010708,1656,1194,0,28,11,297,105,0,10,6,5
E01010709,2663,2342,2,26,12,225,24,10,5,6,11
E01010719,1721,532,1,16,19,1084,40,1,23,5,0
E01010727,1718,1473,0,28,7,151,26,2,18,11,2
E01010728,1800,675,0,24,14,959,32,2,19,33,42
E01010729,1603,960,0,12,15,584,13,5,10,0,4
E01010700,1533,449,0,32,8,896,103,8,23,10,4
E01010701,1474,229,0,13,15,869,317,0,20,3,8
E01010702,2145,297,0,22,11,1572,159,3,44,4,33
E01010703,1642,1306,0,38,13,170,85,0,6,15,9
E01010704,1461,1344,0,26,2,60,10,1,12,5,1
E01010705,1699,1594,1,26,1,68,2,0,3,2,2
E01010710,2047,887,1,47,13,862,53,14,70,41,59
E01010712,1771,535,3,40,2,573,554,2,35,23,4
E01010720,1571,1286,0,24,34,174,25,4,7,13,4
E01010721,1450,1330,0,25,18,52,0,6,9,10,0
E01010723,1614,453,2,21,17,948,70,9,34,15,45
E01010724,1452,1185,2,36,9,132,66,2,4,5,11
E01010725,1555,1387,1,13,4,86,38,2,9,13,2
E01010579,1574,1513,0,11,11,10,0,4,5,17,3
E01010580,2499,2344,0,42,21,47,2,5,12,21,5
E01010764,1637,1577,0,15,7,14,1,2,3,4,14
E01010765,2227,2166,0,31,7,1,0,7,5,4,6
