Region,LA Code,LA Name,count_18_19,pop_18,count_19_20,pop_19,count_20_21,pop_20
East Midlands,E06000015,Derby,80,66702,110,66604,30,66440
East Midlands,E06000016,Leicester,85,96587,110,96177,35,95539
East Midlands,E06000017,Rutland,10,8606,10,8624,c,8541
East Midlands,E06000018,Nottingham,60,85174,65,86361,35,87856
East Midlands,E07000032,Amber Valley,35,26442,45,26557,10,26447
East Midlands,E07000033,Bolsover,50,17378,30,17471,20,17470
East Midlands,E07000034,Chesterfield,55,21991,65,21841,25,21694
East Midlands,E07000035,Derbyshire Dales,40,13729,30,13631,20,13432
East Midlands,E07000036,Erewash,25,25400,35,25150,15,25060
East Midlands,E07000037,High Peak,105,19600,90,19445,30,19197
East Midlands,E07000038,North East Derbyshire,85,20348,80,20334,45,20571
East Midlands,E07000039,South Derbyshire,25,24351,40,24787,15,25159
East Midlands,E07000129,Blaby,30,23113,40,23400,c,23529
East Midlands,E07000130,Charnwood,40,41591,40,42496,15,42719
East Midlands,E07000131,Harborough,30,20932,35,21232,10,21429
East Midlands,E07000132,Hinckley and Bosworth,35,24484,35,24566,c,24724
East Midlands,E07000133,Melton,10,11123,15,11037,c,10962
East Midlands,E07000134,North West Leicestershire,15,22936,35,23131,10,23279
East Midlands,E07000135,Oadby and Wigston,15,13919,10,13890,c,14047
East Midlands,E07000136,Boston,15,16001,25,16199,15,16247
East Midlands,E07000137,East Lindsey,50,26586,50,26496,20,26488
East Midlands,E07000138,Lincoln,25,23447,40,23596,20,23632
East Midlands,E07000139,North Kesteven,35,25012,40,24907,20,24977
East Midlands,E07000140,South Holland,30,20020,35,20223,10,20432
East Midlands,E07000141,South Kesteven,50,31920,65,31935,25,31958
East Midlands,E07000142,West Lindsey,30,20176,30,20194,10,20091
East Midlands,E07000150,Corby,130,18818,160,19235,#N/A,#N/A
East Midlands,E07000151,Daventry,80,19139,110,19553,#N/A,#N/A
East Midlands,E07000152,East Northamptonshire,115,22118,105,22024,#N/A,#N/A
East Midlands,E07000153,Kettering,170,25135,185,25274,#N/A,#N/A
East Midlands,E07000154,Northampton,350,59081,410,59258,#N/A,#N/A
East Midlands,E07000155,South Northamptonshire,95,21541,85,21912,#N/A,#N/A
East Midlands,E07000156,Wellingborough,125,19924,115,20016,#N/A,#N/A
East Midlands,E07000170,Ashfield,140,29417,60,29514,25,29566
East Midlands,E07000171,Bassetlaw,175,25565,165,25730,70,25902
East Midlands,E07000172,Broxtowe,35,24009,25,24103,10,23998
East Midlands,E07000173,Gedling,30,25928,30,25761,10,25660
East Midlands,E07000174,Mansfield,145,24658,60,24786,20,24815
East Midlands,E07000175,Newark and Sherwood,165,26935,70,26993,35,27037
East Midlands,E07000176,Rushcliffe,30,26521,25,26701,10,27399
East of England,E06000031,Peterborough,115,55142,105,55836,50,56268
East of England,E06000032,Luton,145,62293,155,62220,80,62883
East of England,E06000033,Southend-on-Sea,80,43107,80,43281,15,43167
East of England,E06000034,Thurrock,105,47485,85,48188,30,48870
East of England,E06000055,Bedford,135,43754,110,44294,50,44696
East of England,E06000056,Central Bedfordshire,130,67651,165,68990,60,70523
East of England,E07000008,Cambridge,35,29690,20,29775,15,30216
East of England,E07000009,East Cambridgeshire,30,21456,25,21259,c,21177
East of England,E07000010,Fenland,40,22206,30,22152,15,22182
East of England,E07000011,Huntingdonshire,65,39936,70,39872,30,40213
East of England,E07000012,South Cambridgeshire,50,38480,40,38867,25,39253
East of England,E07000066,Basildon,100,46867,105,47512,35,47921
East of England,E07000067,Braintree,115,35463,95,35646,25,35660
East of England,E07000068,Brentwood,35,17557,35,17608,10,17723
East of England,E07000069,Castle Point,40,19005,40,19172,20,19223
East of England,E07000070,Chelmsford,100,41156,105,41561,30,41724
East of England,E07000071,Colchester,160,45550,125,45928,35,46399
East of England,E07000072,Epping Forest,60,30157,50,30277,15,30564
East of England,E07000073,Harlow,50,23048,50,23261,10,23499
East of England,E07000074,Maldon,40,13265,30,13137,10,13226
East of England,E07000075,Rochford,50,18600,40,18671,10,18663
East of England,E07000076,Tendring,135,29709,100,29543,40,29626
East of England,E07000077,Uttlesford,45,21621,45,22147,20,22463
East of England,E07000095,Broxbourne,80,23902,65,24116,40,24195
East of England,E07000096,Dacorum,115,37824,100,38143,45,38509
East of England,E07000098,Hertsmere,70,26680,85,26986,20,27166
East of England,E07000099,North Hertfordshire,85,31598,90,31524,35,31377
